"","X","Name","Label","Country_specific","Scale_type","Type","Format","Valid","Invalid","Question","Group"
"1",5,"nwspol","News about politics and current affairs, watching, reading or listening, in minutes","no","continuous","continuous","numeric-4.0",43863,524,"A1 On a typical day, about how much time do you spend watching, reading or listening to news about politics and current affairs?","Group Media and social trust"
"2",6,"netusoft","Internet use, how often","no","ordinal","discrete","numeric-1.0",44338,49,"A2 People can use the internet on different devices such as computers, tablets and smartphones. How often do you use the internet on these or any other devices, whether for work or personal use?","Group Media and social trust"
"3",7,"netustm","Internet use, how much time on typical day, in minutes","no","continuous","continuous","numeric-4.0",30113,14274,"A3 On a typical day, about how much time do you spend using the internet on a computer, tablet, smartphone or other device, whether for work or personal use?","Group Media and social trust"
