"","X","idno","cntry","gndr","agea","edulvlb","eduyrs","nwspol","netusoft","netustm","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","lrscale","yrbrn"
"1",1,1,"AT",2,34,720,21,120,4,180,6,7,0,2,8,9,10,0,1982
"2",2,2,"AT",1,52,313,16,120,5,120,5,4,3,3,4,6,7,1,1964
"3",4,6,"AT",1,54,322,12,30,5,120,1,1,2,1,1,1,1,0,1962
"4",5,10,"AT",2,20,322,13,30,5,180,7,7,10,6,7,9,10,5,1996
"5",6,11,"AT",2,65,313,13,60,5,120,4,6,7,3,3,2,4,5,1951
"6",8,13,"AT",2,44,423,17,45,4,30,6,7,9,5,3,4,6,5,1972
"7",9,14,"AT",2,22,322,14,10,5,120,10,10,10,9,8,8,10,5,1994
"8",10,15,"AT",2,41,322,16,60,4,120,7,8,7,4,4,1,0,5,1975
"9",12,17,"AT",1,61,322,11,90,4,90,0,5,7,0,0,0,0,8,1955
"10",13,18,"AT",1,50,322,12,15,4,90,2,8,7,6,6,5,4,8,1966
"11",14,19,"AT",2,31,322,12,30,4,180,6,7,7,5,5,7,6,5,1985
"12",16,22,"AT",1,28,322,12,15,5,120,8,8,10,8,8,8,8,6,1988
"13",17,23,"AT",1,58,520,14,30,5,11,7,6,8,5,5,6,4,3,1958
"14",18,24,"AT",1,51,322,12,30,5,360,6,5,8,4,3,3,4,7,1965
"15",19,28,"AT",2,65,322,12,30,4,60,7,7,9,6,6,6,6,4,1951
"16",20,29,"AT",2,61,322,15,15,5,150,2,7,4,2,2,2,2,9,1955
"17",22,32,"AT",1,47,710,20,60,5,180,8,7,8,5,5,8,8,7,1969
"18",23,34,"AT",2,40,322,12,40,4,210,10,10,10,8,10,8,8,9,1976
"19",24,39,"AT",1,45,322,12,35,4,60,1,7,9,2,3,3,5,10,1971
"20",26,43,"AT",2,46,322,12,1,5,20,2,4,10,2,2,4,4,5,1970
"21",27,45,"AT",2,24,423,18,30,5,120,7,6,7,6,6,7,7,2,1992
"22",29,49,"AT",2,46,610,18,60,5,120,5,5,8,5,5,5,7,5,1970
"23",31,52,"AT",1,61,322,14,45,4,30,5,6,6,4,4,3,3,5,1955
"24",32,53,"AT",2,39,322,12,20,5,180,6,10,10,3,6,7,7,5,1977
"25",33,54,"AT",1,42,313,14,60,5,30,7,8,8,5,5,5,7,4,1974
"26",37,60,"AT",1,56,322,12,90,4,90,7,8,9,4,4,4,6,4,1960
"27",40,63,"AT",1,55,720,21,60,5,120,4,7,8,3,3,3,5,2,1961
"28",44,67,"AT",2,59,322,11,30,5,30,0,2,0,0,0,0,0,5,1957
"29",49,75,"AT",1,31,520,13,45,4,90,1,1,3,2,1,0,2,9,1985
"30",50,76,"AT",2,26,322,12,15,5,180,7,8,9,8,8,8,8,2,1990
"31",52,80,"AT",2,23,322,13,30,5,120,0,2,5,1,1,0,0,6,1993
"32",58,89,"AT",1,61,720,20,60,5,120,7,8,9,5,4,7,7,6,1955
"33",60,93,"AT",2,28,620,22,5,5,16,5,4,4,3,3,5,5,4,1988
"34",61,94,"AT",1,49,212,9,60,5,120,0,0,0,1,0,2,0,10,1967
"35",62,97,"AT",1,42,423,15,30,5,60,5,7,8,4,4,6,4,5,1974
"36",63,101,"AT",2,21,322,12,0,5,300,6,10,10,0,0,10,10,9,1995
"37",64,102,"AT",2,27,322,12,20,5,120,7,9,9,5,5,6,6,4,1989
"38",67,110,"AT",2,49,423,15,120,5,120,7,4,9,8,9,0,7,5,1967
"39",70,113,"AT",2,55,520,14,60,5,60,5,7,7,4,3,5,4,2,1961
"40",72,117,"AT",2,62,212,8,120,5,120,5,6,8,4,3,3,0,0,1954
"41",73,120,"AT",2,73,520,13,120,4,90,2,5,6,0,0,3,5,5,1943
"42",74,121,"AT",1,48,313,12,60,5,240,6,7,3,3,3,0,0,3,1968
"43",75,122,"AT",1,27,322,12,10,5,180,8,8,10,7,7,7,7,7,1989
"44",77,124,"AT",1,23,322,12,15,5,60,7,10,10,5,5,4,4,5,1993
"45",80,128,"AT",1,23,423,17,60,5,45,6,8,8,5,5,4,6,3,1993
"46",81,132,"AT",1,35,322,18,60,4,40,7,7,6,4,3,0,0,1,1981
"47",83,134,"AT",2,31,212,9,120,5,180,1,1,6,1,1,4,5,10,1985
"48",84,135,"AT",2,24,322,12,20,5,180,7,8,9,6,6,6,6,6,1992
"49",87,147,"AT",1,34,322,16,15,5,30,9,9,9,8,7,7,9,4,1982
"50",88,152,"AT",2,63,322,12,160,5,210,10,8,7,8,10,9,10,2,1953
"51",90,157,"AT",2,67,322,11,30,5,120,3,9,10,1,1,1,1,5,1949
"52",91,159,"AT",1,49,322,14,30,4,60,6,7,7,5,4,4,4,5,1967
"53",93,161,"AT",2,51,720,16,45,5,210,2,6,6,1,1,0,2,2,1965
"54",95,166,"AT",2,46,322,12,20,4,30,5,7,7,3,3,3,5,4,1970
"55",97,169,"AT",2,19,213,11,20,5,90,5,7,8,4,5,4,4,5,1997
"56",100,173,"AT",2,38,322,13,10,5,60,5,5,5,5,5,2,5,5,1978
"57",101,174,"AT",2,31,322,12,30,5,90,8,10,10,8,8,7,8,3,1985
"58",102,177,"AT",2,25,423,16,10,5,60,5,7,10,5,5,6,6,3,1991
"59",103,178,"AT",2,22,423,14,30,5,300,4,8,8,4,3,4,7,7,1994
"60",104,180,"AT",2,39,322,14,15,4,30,5,6,7,4,4,3,2,4,1977
"61",106,186,"AT",1,44,322,12,60,5,60,3,0,2,0,3,3,7,7,1972
"62",108,192,"AT",2,48,322,12,60,5,60,5,7,8,2,2,1,1,5,1968
"63",111,199,"AT",2,48,313,16,30,5,30,2,8,8,2,2,2,5,5,1968
"64",112,200,"AT",2,45,322,13,30,4,45,5,7,8,4,4,2,1,5,1971
"65",116,207,"AT",1,19,322,12,10,5,135,4,5,5,4,4,4,3,5,1997
"66",117,209,"AT",2,40,322,12,20,5,270,6,9,5,4,8,6,9,10,1976
"67",118,210,"AT",1,29,710,20,60,5,180,10,7,8,5,5,8,8,5,1987
"68",119,213,"AT",2,48,313,13,30,5,60,8,9,9,7,7,5,5,8,1968
"69",123,223,"AT",1,34,322,12,10,5,60,4,7,8,0,1,1,0,7,1982
"70",126,226,"AT",1,54,322,13,90,5,120,8,8,8,7,7,7,8,2,1962
"71",127,227,"AT",1,26,620,19,30,5,600,8,9,9,6,6,5,5,4,1990
"72",128,229,"AT",1,44,313,13,15,5,240,7,8,8,5,5,6,7,6,1972
"73",130,231,"AT",2,25,322,12,15,5,60,7,8,9,2,7,1,0,4,1991
"74",131,233,"AT",2,55,313,12,120,5,210,5,9,9,4,3,6,6,4,1961
"75",132,234,"AT",1,45,423,15,120,5,60,9,9,9,9,9,9,7,4,1971
"76",135,243,"AT",1,48,212,8,120,5,120,3,3,3,2,1,0,0,2,1968
"77",137,247,"AT",1,47,322,12,15,5,15,6,5,7,5,5,3,2,6,1969
"78",142,261,"AT",2,22,322,12,0,5,240,5,9,9,0,0,3,3,7,1994
"79",143,264,"AT",2,63,610,16,20,5,45,4,6,6,3,3,4,4,4,1953
"80",144,265,"AT",1,44,520,14,30,4,30,4,4,6,4,4,4,5,6,1972
"81",146,269,"AT",2,52,720,16,30,5,600,7,9,9,5,5,4,6,6,1964
"82",150,279,"AT",1,20,423,14,120,5,360,7,8,9,5,3,5,4,3,1996
"83",151,284,"AT",1,26,322,12,15,5,180,8,10,10,7,7,7,8,5,1990
"84",154,293,"AT",2,26,322,12,30,5,30,0,2,8,5,5,1,1,5,1990
"85",156,297,"AT",2,30,610,16,30,5,90,4,4,6,4,4,5,5,6,1986
"86",160,305,"AT",2,38,322,12,45,5,180,10,9,10,10,10,10,10,5,1978
"87",161,307,"AT",2,24,212,9,10,5,40,6,7,8,3,3,3,3,5,1992
"88",162,310,"AT",1,22,322,12,20,5,90,7,7,6,3,5,4,6,5,1994
"89",163,311,"AT",1,58,322,13,60,5,240,5,8,10,3,5,5,6,3,1958
"90",164,314,"AT",1,60,322,12,60,5,180,5,3,6,2,2,0,0,5,1956
"91",169,331,"AT",1,60,800,17,120,5,90,5,6,7,4,3,3,1,4,1956
"92",170,332,"AT",2,24,423,13,60,5,180,8,9,7,6,6,5,8,4,1992
"93",173,335,"AT",1,58,720,20,30,5,540,10,8,8,5,5,4,6,4,1958
"94",174,336,"AT",2,43,322,14,35,5,270,9,6,5,5,8,8,7,6,1973
"95",176,339,"AT",2,25,322,12,30,5,240,8,10,10,6,6,7,6,5,1991
"96",177,340,"AT",2,29,322,12,30,5,60,6,8,8,6,6,5,6,5,1987
"97",178,341,"AT",1,67,313,12,60,4,90,5,7,8,4,3,5,6,6,1949
"98",179,343,"AT",2,29,620,18,60,5,420,8,9,7,2,1,5,6,3,1987
"99",182,349,"AT",2,55,423,14,120,4,120,3,4,4,2,1,3,3,2,1961
"100",186,355,"AT",1,42,322,14,15,5,60,5,3,0,0,0,0,4,9,1974
"101",187,357,"AT",2,23,423,13,30,5,120,6,6,6,5,5,6,5,5,1993
"102",191,363,"AT",2,47,322,12,15,4,60,6,10,10,5,6,3,5,7,1969
"103",193,365,"AT",2,46,212,9,30,5,60,9,10,8,10,9,9,9,6,1970
"104",195,367,"AT",2,25,322,12,10,5,150,5,9,9,5,5,5,5,5,1991
"105",196,368,"AT",2,58,322,12,10,5,20,6,7,7,3,3,4,0,6,1958
"106",198,370,"AT",2,52,313,12,10,5,120,4,6,7,0,0,0,5,3,1964
"107",199,373,"AT",1,33,322,13,20,4,360,7,10,9,7,7,7,7,4,1983
"108",201,379,"AT",1,25,322,12,30,5,90,3,5,6,2,2,3,0,0,1991
"109",203,381,"AT",1,55,710,17,45,4,30,6,7,8,7,5,4,5,5,1961
"110",205,383,"AT",2,36,322,12,15,5,70,6,7,8,6,7,1,0,4,1980
"111",206,384,"AT",2,37,313,12,5,4,60,10,10,10,10,10,10,10,0,1979
"112",209,388,"AT",1,53,322,12,20,5,60,7,9,9,6,6,6,6,5,1963
"113",210,389,"AT",2,35,322,14,30,4,60,7,10,10,6,6,7,7,4,1981
"114",211,391,"AT",2,37,322,12,60,5,90,6,10,10,5,5,5,5,4,1979
"115",214,395,"AT",1,49,322,12,15,4,60,5,7,7,0,0,0,5,5,1967
"116",216,399,"AT",1,44,322,12,20,5,180,5,3,7,8,3,8,8,4,1972
"117",219,402,"AT",1,37,610,16,45,5,120,10,9,8,6,8,7,9,4,1979
"118",220,403,"AT",2,27,423,13,10,4,60,7,8,9,5,5,6,6,6,1989
"119",221,404,"AT",2,22,212,11,90,5,180,8,10,8,8,8,8,10,8,1994
"120",222,406,"AT",2,29,322,12,15,4,30,2,5,6,2,1,2,4,6,1987
"121",224,409,"AT",2,25,322,12,0,5,45,2,6,6,0,1,2,2,3,1991
"122",225,410,"AT",1,43,322,12,30,5,120,6,7,8,3,5,5,6,5,1973
"123",226,412,"AT",2,34,710,20,30,5,300,2,6,6,2,2,2,3,0,1982
"124",229,416,"AT",2,63,313,13,30,5,120,5,7,8,5,4,5,6,5,1953
"125",230,417,"AT",1,21,322,11,30,5,120,7,5,7,1,1,7,7,3,1995
"126",231,422,"AT",2,20,322,12,60,5,180,8,10,10,6,8,7,6,9,1996
"127",233,425,"AT",1,46,720,23,120,4,180,3,6,6,3,3,1,2,6,1970
"128",234,426,"AT",1,26,322,12,30,5,180,9,10,10,9,9,8,9,2,1990
"129",237,431,"AT",1,37,313,13,5,5,30,4,6,6,3,3,3,2,5,1979
"130",238,432,"AT",2,52,322,12,0,5,60,0,10,10,0,5,0,0,5,1964
"131",240,435,"AT",2,30,610,16,2,5,180,6,8,4,7,7,6,6,3,1986
"132",241,441,"AT",2,55,313,14,10,5,150,4,2,3,2,2,3,4,5,1961
"133",242,443,"AT",2,65,520,13,60,5,120,6,10,10,6,8,6,6,3,1951
"134",243,445,"AT",2,61,322,12,15,5,150,2,5,5,2,2,1,4,6,1955
"135",245,450,"AT",2,54,720,16,120,5,180,6,5,9,6,3,8,8,6,1962
"136",247,452,"AT",1,23,313,13,10,5,180,8,10,10,8,8,9,8,3,1993
"137",249,455,"AT",2,58,322,12,90,5,120,2,2,1,0,0,1,2,8,1958
"138",250,458,"AT",2,59,322,15,10,5,60,0,0,7,0,0,0,3,10,1957
"139",253,464,"AT",1,50,720,17,60,5,120,6,8,8,3,2,5,6,6,1966
"140",258,475,"AT",2,27,322,13,60,5,60,1,3,10,3,3,0,0,3,1989
"141",259,476,"AT",2,43,620,16,30,5,180,7,7,8,4,4,4,2,6,1973
"142",262,480,"AT",2,28,423,13,60,5,240,6,8,8,7,7,5,6,5,1988
"143",268,487,"AT",2,50,322,10,30,5,90,6,6,7,3,4,4,6,6,1966
"144",270,491,"AT",2,70,212,9,60,4,30,2,6,10,3,1,0,0,5,1946
"145",272,493,"AT",2,24,313,13,45,5,240,5,4,2,1,2,2,2,0,1992
"146",273,495,"AT",1,26,322,12,30,5,150,1,1,3,0,0,0,1,7,1990
"147",274,497,"AT",2,21,313,15,120,5,240,9,10,7,8,6,8,8,1,1995
"148",277,501,"AT",2,44,322,12,60,5,120,7,7,7,5,5,0,2,5,1972
"149",279,503,"AT",2,61,322,12,40,5,90,2,5,6,3,3,3,5,8,1955
"150",280,504,"AT",1,34,423,13,30,5,300,6,6,10,5,5,7,5,1,1982
"151",282,507,"AT",2,51,212,9,20,4,60,0,10,7,0,0,0,0,1,1965
"152",283,508,"AT",2,28,322,16,0,4,30,5,8,10,5,5,5,5,1,1988
"153",284,510,"AT",1,40,710,16,30,5,120,7,7,8,7,6,6,7,3,1976
"154",285,511,"AT",1,45,322,12,50,5,135,4,9,7,5,5,8,8,9,1971
"155",286,512,"AT",1,51,720,17,45,5,150,5,7,6,5,5,7,5,6,1965
"156",287,515,"AT",2,44,322,15,30,5,360,2,4,5,3,7,3,1,6,1972
"157",289,522,"AT",1,23,423,14,120,4,360,6,5,8,3,2,4,5,2,1993
"158",290,526,"AT",1,59,322,14,30,4,45,4,5,6,5,4,4,4,5,1957
"159",291,531,"AT",2,27,423,14,60,5,60,4,5,10,2,5,9,4,8,1989
"160",292,535,"AT",2,28,610,16,15,5,180,4,5,6,4,5,6,4,2,1988
"161",295,539,"AT",1,43,322,15,60,5,60,2,8,8,6,6,4,4,8,1973
"162",296,540,"AT",1,58,322,12,30,5,90,2,5,2,8,6,6,7,10,1958
"163",298,544,"AT",2,50,322,13,10,5,240,8,9,9,7,7,8,8,6,1966
"164",299,548,"AT",2,27,620,21,150,5,420,8,8,6,3,5,8,9,3,1989
"165",301,552,"AT",1,48,313,15,45,5,45,7,8,8,5,5,4,5,5,1968
"166",302,554,"AT",1,65,610,15,60,4,15,5,7,7,5,5,3,3,5,1951
"167",303,556,"AT",2,38,322,12,180,4,240,8,9,8,9,6,8,7,8,1978
"168",305,558,"AT",2,34,322,12,10,5,120,7,9,10,8,9,8,8,5,1982
"169",306,559,"AT",1,26,313,12,15,5,180,7,8,9,6,6,5,6,3,1990
"170",309,563,"AT",1,22,322,13,10,5,90,5,6,5,5,5,5,6,3,1994
"171",311,565,"AT",1,20,423,14,60,5,420,4,5,8,3,3,5,1,5,1996
"172",315,571,"AT",2,41,610,18,45,5,60,3,6,7,2,2,1,6,4,1975
"173",319,581,"AT",1,49,313,13,120,4,120,7,8,8,5,5,5,7,2,1967
"174",320,582,"AT",1,28,322,15,0,5,300,3,5,10,3,3,4,3,7,1988
"175",321,585,"AT",1,63,322,12,30,5,480,2,4,9,1,1,3,3,5,1953
"176",324,589,"AT",1,28,313,16,10,5,510,4,7,4,3,3,3,6,6,1988
"177",326,592,"AT",2,64,322,12,30,5,120,7,8,9,5,5,4,5,4,1952
"178",328,595,"AT",2,33,710,17,45,5,120,8,8,6,4,6,8,10,3,1983
"179",332,604,"AT",2,53,322,12,30,5,60,6,10,10,5,5,7,2,4,1963
"180",333,607,"AT",2,38,322,11,30,5,120,0,7,8,0,0,0,0,5,1978
"181",334,608,"AT",1,69,322,12,50,5,195,8,10,7,9,10,9,8,8,1947
"182",335,615,"AT",2,40,322,11,55,5,180,6,5,10,4,4,6,8,5,1976
"183",340,621,"AT",2,33,422,17,60,5,60,5,5,7,0,3,0,2,5,1983
"184",341,624,"AT",2,41,322,12,0,5,180,4,2,2,4,5,3,5,4,1975
"185",342,625,"AT",2,55,322,11,30,5,60,8,4,8,5,5,7,7,3,1961
"186",343,627,"AT",1,35,720,18,20,5,90,4,6,7,4,4,4,5,4,1981
"187",346,632,"AT",2,39,322,14,30,4,40,4,6,7,3,3,2,1,4,1977
"188",347,634,"AT",2,59,322,12,120,4,60,6,8,8,6,6,6,6,7,1957
"189",348,635,"AT",1,57,322,11,60,5,240,3,0,6,2,2,1,3,5,1959
"190",350,644,"AT",1,46,322,11,60,4,180,4,7,7,3,3,3,3,2,1970
"191",355,654,"AT",1,33,322,14,105,4,180,6,7,9,3,4,5,7,4,1983
"192",356,655,"AT",2,49,212,9,0,5,240,3,8,6,0,0,0,0,8,1967
"193",358,658,"AT",1,30,720,17,30,5,240,6,6,7,5,5,4,6,6,1986
"194",359,659,"AT",2,42,620,21,75,5,300,2,6,9,0,0,2,3,4,1974
"195",361,661,"AT",2,39,322,12,180,5,420,5,6,6,4,6,5,5,6,1977
"196",362,662,"AT",1,55,322,14,30,4,15,4,6,7,4,4,4,4,5,1961
"197",363,665,"AT",2,29,322,12,30,5,180,5,7,8,4,3,4,5,5,1987
"198",369,697,"AT",1,25,322,12,30,5,180,9,9,10,8,9,8,8,5,1991
"199",370,699,"AT",1,44,710,15,60,5,120,7,8,8,5,5,3,10,5,1972
"200",373,706,"AT",2,26,322,14,10,5,90,5,6,7,6,5,5,5,5,1990
"201",374,707,"AT",2,41,620,18,10,5,120,6,7,9,6,4,2,0,1,1975
"202",376,709,"AT",2,27,313,16,20,5,180,4,7,7,5,3,7,7,3,1989
"203",378,714,"AT",1,58,720,18,90,5,60,2,4,7,2,2,1,0,2,1958
"204",380,716,"AT",2,38,720,18,0,5,300,4,4,5,2,2,3,5,5,1978
"205",381,717,"AT",2,49,322,12,15,5,60,2,4,6,1,1,1,1,5,1967
"206",383,719,"AT",2,67,322,10,60,4,60,6,5,8,3,6,6,7,4,1949
"207",384,720,"AT",2,41,322,11,10,4,30,3,4,4,0,1,0,4,6,1975
"208",387,724,"AT",2,72,322,11,90,5,120,7,8,4,1,1,9,5,4,1944
"209",388,725,"AT",1,45,322,12,5,5,120,6,8,8,0,0,2,0,7,1971
"210",389,731,"AT",2,21,423,13,10,5,60,5,6,8,4,4,2,4,5,1995
"211",390,732,"AT",1,41,322,12,60,5,90,7,10,10,10,10,9,9,4,1975
"212",393,740,"AT",2,27,322,12,20,5,180,2,4,6,1,1,3,3,5,1989
"213",397,746,"AT",1,75,720,18,180,5,30,2,10,10,0,0,0,7,5,1941
"214",398,747,"AT",2,43,620,19,25,5,300,1,2,2,1,2,2,2,0,1973
"215",400,749,"AT",2,46,322,12,10,5,480,10,10,10,10,3,10,10,3,1970
"216",402,754,"AT",2,39,422,13,15,5,120,10,10,10,9,9,9,9,5,1977
"217",405,758,"AT",1,47,322,14,20,5,60,5,7,7,4,4,3,6,5,1969
"218",408,762,"AT",2,34,720,17,60,4,120,3,6,6,2,2,1,1,5,1982
"219",413,769,"AT",1,65,322,12,60,5,60,5,5,8,4,5,4,4,6,1951
"220",417,774,"AT",2,32,322,11,5,4,60,5,7,9,4,4,5,6,5,1984
"221",419,779,"AT",2,71,212,9,30,5,15,3,3,3,5,3,1,2,3,1945
"222",420,780,"AT",2,60,423,13,180,5,120,5,9,8,5,5,5,7,2,1956
"223",421,783,"AT",2,27,322,12,15,5,90,5,7,8,4,3,3,4,5,1989
"224",422,784,"AT",1,42,710,17,20,5,120,4,7,8,2,3,2,6,6,1974
"225",424,789,"AT",2,27,620,21,300,5,120,8,9,5,5,7,9,10,0,1989
"226",426,792,"AT",1,24,610,17,90,5,420,6,6,8,5,5,6,2,5,1992
"227",429,796,"AT",1,34,423,13,0,5,120,10,10,10,8,6,6,0,0,1982
"228",430,798,"AT",1,39,322,12,90,5,180,5,7,9,5,3,5,6,5,1977
"229",434,807,"AT",2,42,720,17,5,5,120,3,5,8,4,4,3,8,3,1974
"230",437,812,"AT",2,56,322,12,30,5,240,5,5,8,5,5,0,3,5,1960
"231",443,824,"AT",2,61,322,11,60,5,180,4,3,4,1,2,2,6,5,1955
"232",444,825,"AT",2,28,422,11,0,5,60,7,9,10,2,2,4,5,5,1988
"233",445,826,"AT",2,27,313,16,10,5,180,5,7,8,3,4,5,5,3,1989
"234",447,830,"AT",1,28,322,12,30,5,14,3,3,3,5,5,3,3,5,1988
"235",448,837,"AT",1,59,313,12,20,5,300,2,8,2,4,7,6,9,8,1957
"236",452,848,"AT",2,20,322,12,60,4,40,8,7,9,8,8,8,7,6,1996
"237",454,850,"AT",2,30,422,14,10,5,60,5,8,9,0,0,0,0,9,1986
"238",455,851,"AT",2,44,423,15,60,5,180,5,3,7,4,3,3,4,4,1972
"239",457,863,"AT",1,30,520,14,30,5,180,7,8,8,5,4,6,6,3,1986
"240",459,870,"AT",1,30,322,13,60,5,240,3,3,1,3,2,3,3,10,1986
"241",460,871,"AT",2,28,610,16,60,5,120,8,6,5,8,7,7,6,7,1988
"242",461,873,"AT",2,30,720,18,60,5,210,2,2,8,0,0,1,0,1,1986
"243",464,880,"AT",1,53,322,12,90,5,30,8,8,8,6,5,0,0,5,1963
"244",465,881,"AT",1,68,423,14,60,5,30,8,8,5,2,2,2,2,7,1948
"245",468,886,"AT",2,52,313,13,15,5,180,2,0,0,0,0,0,5,1,1964
"246",469,887,"AT",1,25,322,14,15,5,180,4,7,9,0,0,0,0,5,1991
"247",471,889,"AT",1,65,610,17,30,5,60,8,8,8,6,6,8,8,6,1951
"248",472,893,"AT",2,40,322,12,15,5,60,1,0,1,0,0,0,1,6,1976
"249",474,904,"AT",1,63,322,12,120,5,120,6,7,6,5,5,6,6,2,1953
"250",475,905,"AT",2,43,322,12,5,5,15,4,2,2,1,1,2,1,5,1973
"251",476,906,"AT",1,27,313,15,30,5,240,5,4,4,2,4,5,5,3,1989
"252",477,907,"AT",2,35,322,13,15,5,60,3,6,7,2,2,1,1,7,1981
"253",479,913,"AT",1,57,313,11,60,5,60,7,8,7,4,4,5,5,5,1959
"254",482,919,"AT",2,20,322,12,30,5,90,5,7,7,3,3,5,5,4,1996
"255",483,921,"AT",2,55,313,14,30,5,120,7,8,9,6,6,6,6,4,1961
"256",484,922,"AT",2,44,322,13,35,5,180,4,4,2,6,9,5,6,5,1972
"257",486,925,"AT",2,54,422,13,60,4,50,5,7,7,2,1,3,8,10,1962
"258",488,928,"AT",1,37,322,12,20,5,90,6,6,8,4,5,4,5,6,1979
"259",491,933,"AT",2,45,422,14,5,5,135,5,9,9,3,3,2,6,4,1971
"260",493,935,"AT",1,56,313,12,5,5,70,9,10,10,6,6,8,9,5,1960
"261",494,936,"AT",2,36,212,9,15,4,15,2,8,8,3,3,3,2,5,1980
"262",495,937,"AT",2,44,710,16,60,5,60,3,7,8,1,0,0,6,6,1972
"263",496,939,"AT",2,20,212,9,5,4,25,3,5,5,4,4,4,7,6,1996
"264",502,953,"AT",1,30,322,12,0,5,180,4,5,6,4,3,2,2,8,1986
"265",505,957,"AT",2,31,322,12,5,5,60,2,4,8,2,2,2,2,7,1985
"266",507,962,"AT",1,38,322,12,20,5,180,7,10,10,8,10,8,8,10,1978
"267",508,964,"AT",1,25,322,11,10,5,180,4,3,8,5,5,5,5,5,1991
"268",509,965,"AT",1,45,322,14,600,5,60,3,3,5,2,2,2,2,6,1971
"269",510,968,"AT",2,23,313,16,60,5,240,6,7,6,5,6,7,8,2,1993
"270",511,969,"AT",1,30,322,12,30,5,90,7,9,9,8,8,6,6,4,1986
"271",514,977,"AT",1,70,720,18,60,5,120,3,7,7,1,0,3,5,8,1946
"272",515,978,"AT",1,50,322,12,60,4,240,2,2,3,2,1,1,1,5,1966
"273",516,979,"AT",2,25,213,7,10,5,300,7,7,5,5,5,5,5,3,1991
"274",517,984,"AT",2,59,422,13,60,5,120,7,9,9,4,4,2,2,3,1957
"275",518,990,"AT",1,52,800,19,600,5,30,6,6,5,3,3,5,5,4,1964
"276",519,994,"AT",1,59,322,12,45,5,145,9,10,9,10,9,9,10,7,1957
"277",522,1000,"AT",2,59,720,19,60,5,30,8,8,8,4,4,4,9,3,1957
"278",525,1005,"AT",2,56,620,17,20,4,45,5,6,6,5,6,6,6,6,1960
"279",526,1007,"AT",2,48,322,15,60,5,360,4,4,1,3,3,3,3,5,1968
"280",530,1015,"AT",2,39,620,21,45,5,90,2,4,2,5,3,4,7,5,1977
"281",531,1019,"AT",1,67,313,16,120,5,60,7,7,7,8,4,5,7,7,1949
"282",533,1022,"AT",1,45,322,12,30,5,30,6,5,7,5,5,5,5,4,1971
"283",534,1028,"AT",1,57,720,18,15,5,70,6,8,9,3,4,2,1,0,1959
"284",536,1030,"AT",2,30,620,16,10,5,360,6,7,10,4,4,8,9,6,1986
"285",538,1035,"AT",2,19,313,12,15,5,120,5,4,6,4,4,6,6,5,1997
"286",541,1043,"AT",1,49,720,16,120,5,120,0,1,1,0,0,0,1,10,1967
"287",543,1045,"AT",2,23,313,16,10,5,120,5,6,7,3,3,3,2,4,1993
"288",545,1049,"AT",2,42,423,13,30,5,480,9,9,9,3,3,5,5,4,1974
"289",547,1051,"AT",1,56,322,12,60,5,60,7,6,8,5,6,5,6,4,1960
"290",550,1056,"AT",1,46,322,12,120,5,60,5,7,7,5,5,5,5,7,1970
"291",551,1057,"AT",1,24,322,15,10,5,30,9,10,10,7,8,9,8,4,1992
"292",552,1058,"AT",2,38,322,12,20,4,60,4,6,7,2,2,2,3,4,1978
"293",553,1059,"AT",2,51,322,11,45,4,30,5,7,10,3,3,3,4,5,1965
"294",555,1063,"AT",2,54,212,11,15,5,180,2,5,9,1,1,0,2,5,1962
"295",559,1073,"AT",1,30,423,13,20,5,120,6,9,9,5,5,3,5,5,1986
"296",560,1074,"AT",1,35,322,13,30,5,240,7,7,7,5,3,2,2,5,1981
"297",562,1077,"AT",1,40,322,12,45,5,30,6,6,8,5,5,3,5,6,1976
"298",565,1083,"AT",2,52,322,10,30,4,180,5,7,8,5,4,6,6,5,1964
"299",569,1091,"AT",1,56,322,12,60,5,25,5,6,3,4,3,5,5,4,1960
"300",571,1093,"AT",2,45,423,14,30,5,90,4,7,8,4,4,3,6,4,1971
"301",574,1099,"AT",1,60,322,12,10,5,240,6,6,8,4,7,4,5,4,1956
"302",575,1101,"AT",1,30,423,13,20,5,240,4,7,8,3,3,3,3,7,1986
"303",577,1105,"AT",2,70,610,16,135,4,190,8,8,8,7,7,7,7,8,1946
"304",579,1112,"AT",1,68,322,13,30,5,30,3,3,3,3,3,3,5,3,1948
"305",583,1124,"AT",2,64,322,11,150,5,30,4,6,9,1,1,1,5,4,1952
"306",586,1128,"AT",2,19,313,12,90,5,360,5,7,4,5,4,5,6,1,1997
"307",588,1131,"AT",1,49,322,14,120,5,240,4,8,8,4,2,2,2,5,1967
"308",592,1138,"AT",2,48,800,25,60,4,120,6,6,7,4,4,6,7,4,1968
"309",593,1141,"AT",2,60,322,12,10,4,20,7,8,8,5,3,2,0,5,1956
"310",596,1144,"AT",2,64,322,11,20,4,60,6,8,8,4,3,5,6,4,1952
"311",597,1145,"AT",2,38,322,12,60,5,60,3,6,7,2,2,1,0,7,1978
"312",598,1146,"AT",1,34,322,12,50,5,180,0,8,10,2,2,2,2,8,1982
"313",601,1156,"AT",2,40,322,13,30,5,40,4,6,7,3,2,1,2,4,1976
"314",602,1159,"AT",1,64,322,14,45,5,45,5,7,8,5,3,3,2,5,1952
"315",608,1174,"AT",2,68,313,12,90,5,240,4,6,6,2,3,1,4,5,1948
