"","X","idno","cntry","gndr","agea","edulvlb","eduyrs","nwspol","netusoft","netustm","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","lrscale","yrbrn"
"5347",9118,10006264,"DE",2,64,322,11,60,5,180,5,5,5,5,5,5,5,7,1952
"5348",9120,10006268,"DE",1,70,321,15,60,5,150,0,0,3,0,0,5,2,5,1946
"5349",9121,10006269,"DE",2,49,423,16,30,5,30,9,9,7,4,4,4,8,1,1967
"5350",9122,10006273,"DE",1,33,520,18,5,4,120,6,9,9,5,6,6,6,7,1983
"5351",9123,10006274,"DE",2,31,322,14,30,5,210,4,3,5,3,3,4,4,5,1985
"5352",9125,10006280,"DE",2,20,321,14,60,5,120,7,9,9,8,8,7,7,5,1996
"5353",9126,10006282,"DE",1,50,610,18,60,5,540,4,2,8,1,0,0,7,4,1966
"5354",9128,10006288,"DE",1,50,610,14,90,5,120,6,8,8,3,2,5,5,7,1966
"5355",9129,10006306,"DE",2,39,720,23,25,5,60,7,9,7,8,7,6,7,2,1977
"5356",9131,10006314,"DE",1,38,610,15,60,5,40,8,8,8,5,5,4,5,6,1978
"5357",9134,10006321,"DE",2,53,720,19,20,5,60,6,6,8,4,4,5,6,3,1963
"5358",9136,10006335,"DE",2,62,321,12,120,5,60,3,9,10,2,3,2,9,5,1955
"5359",9138,10006378,"DE",1,75,800,20,420,5,150,8,7,5,4,4,5,4,3,1941
"5360",9139,10006379,"DE",1,72,520,17,30,4,15,0,5,9,0,0,0,0,7,1944
"5361",9142,10006383,"DE",2,24,510,16,60,5,300,6,7,7,3,5,5,5,4,1992
"5362",9143,10006385,"DE",1,40,520,16,120,5,180,9,8,8,7,7,7,8,5,1976
"5363",9144,10006390,"DE",1,24,313,16,60,5,60,3,3,0,4,2,3,5,0,1992
"5364",9145,10006393,"DE",1,47,322,13,90,5,540,7,7,8,5,6,4,7,6,1969
"5365",9146,10006394,"DE",1,51,720,20,90,5,480,8,9,7,8,6,8,8,4,1965
"5366",9147,10006401,"DE",1,45,322,14,60,4,90,7,8,8,6,4,4,3,7,1971
"5367",9149,10006403,"DE",1,37,720,23,75,5,180,9,10,9,8,8,8,7,2,1979
"5368",9150,10006423,"DE",2,69,720,23,180,4,60,6,8,9,5,3,3,4,5,1947
"5369",9152,10006427,"DE",2,41,620,19,105,5,420,8,6,10,6,5,5,8,3,1975
"5370",9153,10006428,"DE",2,69,720,18,60,5,30,1,6,9,3,0,0,5,5,1947
"5371",9154,10006433,"DE",1,26,212,8,90,4,120,4,4,7,3,3,5,6,5,1990
"5372",9155,10006434,"DE",2,56,720,18,60,4,120,8,10,9,8,6,8,7,4,1960
"5373",9156,10006435,"DE",2,51,720,24,20,5,10,6,7,3,2,2,6,2,3,1965
"5374",9160,10006448,"DE",1,57,720,15,30,5,90,5,8,7,3,3,4,2,2,1960
"5375",9162,10006455,"DE",1,68,322,13,60,4,60,4,3,6,3,2,3,3,6,1948
"5376",9163,10006456,"DE",1,26,620,18,25,5,135,2,7,9,2,0,3,1,3,1990
"5377",9164,10006457,"DE",1,69,423,14,90,5,90,2,3,5,1,2,2,3,4,1947
"5378",9165,10006460,"DE",1,22,610,15,30,5,180,9,7,7,5,6,9,8,4,1994
"5379",9167,10006462,"DE",1,46,720,19,90,5,240,9,8,6,5,5,6,8,4,1970
"5380",9169,10006488,"DE",2,42,313,21,180,5,900,4,6,7,4,3,5,5,1,1974
"5381",9170,10006492,"DE",1,48,423,14,30,5,45,4,8,9,5,3,3,3,3,1968
"5382",9171,10006497,"DE",1,32,423,16,30,5,240,4,6,8,2,4,4,4,6,1985
"5383",9175,10006508,"DE",1,30,520,18,30,5,90,6,4,3,3,4,3,4,3,1986
"5384",9176,10006518,"DE",1,33,423,15,30,5,240,7,7,6,5,6,6,7,4,1984
"5385",9177,10006522,"DE",1,28,720,19,60,5,180,9,10,8,5,5,9,7,5,1988
"5386",9178,10006523,"DE",1,51,322,16,30,5,180,6,7,8,5,6,6,6,4,1966
"5387",9179,10006527,"DE",2,43,720,18,30,5,60,8,8,8,8,8,8,8,3,1973
"5388",9180,10006529,"DE",1,28,620,15,60,5,90,9,8,9,8,7,7,6,7,1988
"5389",9181,10006542,"DE",1,24,422,16,15,5,240,8,10,9,4,5,10,6,5,1992
"5390",9182,10006548,"DE",1,30,313,15,90,5,360,8,6,8,7,3,7,8,5,1987
"5391",9183,10006555,"DE",1,45,422,15,60,5,150,4,3,5,2,2,1,1,4,1971
"5392",9184,10006564,"DE",2,52,322,13,60,5,60,3,3,8,1,1,6,6,5,1964
"5393",9186,10006571,"DE",1,42,720,20,30,5,120,9,9,9,6,6,8,7,2,1974
"5394",9187,10006574,"DE",2,58,720,18,30,4,120,4,3,5,2,4,3,4,2,1959
"5395",9189,10006579,"DE",1,63,800,16,90,5,30,8,8,7,7,7,4,4,3,1954
"5396",9190,10006581,"DE",1,21,313,13,30,4,180,1,5,4,0,0,5,0,3,1995
